PLAYER_NAME,BBREF_ID,TEAM,SALARY,SEASON
De'Aaron Fox,foxde01,SAC,28103500.0,2021-22
Gary Harris,harriga01,ORL,20482143.0,2021-22
Eric Paschall,pascher01,UTA,1782621.0,2021-22
Clint Capela,capelca01,ATL,17103448.0,2021-22
Elijah Hughes,hugheel01,POR,1517981.0,2021-22
Bryn Forbes,forbebr01,DEN,4500000.0,2021-22
Anthony Lamb,lamban01,HOU,0.0,2021-22
Feron Hunt,huntfe01,NOP,53176.0,2021-22
Jayson Tatum,tatumja01,BOS,28103550.0,2021-22
Jarred Vanderbilt,vandeja01,MIN,4000000.0,2021-22
Daniel Theis,theisda01,BOS,8280351.0,2021-22
Saben Lee,leesa01,DET,1489065.0,2021-22
JT Thor,thorjt01,CHO,1250000.0,2021-22
Wes Iwundu,iwundwe01,ATL,102831.0,2021-22
Mfiondu Kabengele,kabenmf01,HOU,19186.0,2021-22
Skylar Mays,mayssk01,ATL,34231.0,2021-22
D.J. Augustin,augusdj01,HOU,7000000.0,2021-22
Derrick Jones,jonesde02,CHI,9720900.0,2021-22
Devin Cannady,cannade01,ORL,185578.0,2021-22
Kris Dunn,dunnkr01,MEM,5005350.0,2021-22
Damion Lee,leeda03,GSW,1910860.0,2021-22
Kai Jones,joneska01,CHO,2770560.0,2021-22
RJ Nembhard,nembhrj01,CLE,58493.0,2021-22
Zach LaVine,lavinza01,CHI,19500000.0,2021-22
Kent Bazemore,bazemke01,LAL,2401537.0,2021-22
Andrew Wiggins,wiggian01,GSW,31579390.0,2021-22
Devin Booker,bookede01,PHO,31650600.0,2021-22
Jahlil Okafor,okafoja01,BRK,2130023.0,2021-22
Moses Moody,moodymo01,GSW,3562080.0,2021-22
Javonte Green,greenja02,CHI,1669178.0,2021-22
Shake Milton,miltosh01,PHI,1846738.0,2021-22
Keifer Sykes,sykeske01,IND,558345.0,2021-22
Daulton Hommes,hommeda01,NOP,0.0,2021-22
Jonathan Kuminga,kuminjo01,GSW,5466360.0,2021-22
Kyle Guy,guyky01,MIA,191860.0,2021-22
Brook Lopez,lopezbr01,MIL,13302325.0,2021-22
Trey Murphy,murphtr02,NOP,3053760.0,2021-22
Paris Bass,basspa01,PHO,106352.0,2021-22
Jason Preston,prestja01,LAC,1062303.0,2021-22
Paul Watson,watsopa01,OKC,0.0,2021-22
Chris Chiozza,chiozch01,GSW,0.0,2021-22
Deandre Ayton,aytonde01,PHO,12632950.0,2021-22
Vit Krejci,krejcvi01,OKC,925258.0,2021-22
Bogdan BogdanoviÄ,bogdabo01,ATL,18000000.0,2021-22
TimothÃ© Luwawu-Cabarrot,luwawti01,ATL,1939350.0,2021-22
Rob Edwards,edwarro01,OKC,53176.0,2021-22
Ahmad Caver,caverah01,IND,53176.0,2021-22
Stephen Curry,curryst01,GSW,45780966.0,2021-22
D.J. Wilson,wilsodj01,TOR,308493.0,2021-22
Anthony Edwards,edwaran01,MIN,10245480.0,2021-22
Kira Lewis,lewiski01,NOP,3822240.0,2021-22
Alperen ÅengÃ¼n,sengual01,HOU,3214680.0,2021-22
Duncan Robinson,robindu01,MIA,15560000.0,2021-22
Willie Cauley-Stein,caulewi01,DAL,4100000.0,2021-22
Grant Williams,willigr01,BOS,2617800.0,2021-22
Terrence Ross,rosste01,ORL,12500000.0,2021-22
DaQuan Jeffries,jeffrda01,MEM,95930.0,2021-22
Jericho Sims,simsje01,NYK,0.0,2021-22
Jerami Grant,grantje01,DET,20002500.0,2021-22
Frank Ntilikina,ntilila01,DAL,1789256.0,2021-22
Ricky Rubio,rubiori01,IND,17800000.0,2021-22
Tony Snell,snellto01,NOP,2389641.0,2021-22
DÄvis BertÄns,bertada01,DAL,16000000.0,2021-22
Kyle Singler,singlky01,OKC,999200.0,2021-22
Brad Wanamaker,wanambr01,IND,715538.0,2021-22
Solomon Hill,hillso01,NYK,2389641.0,2021-22
Eric Gordon,gordoer01,HOU,18218818.0,2021-22
Jaime Echenique,echenja01,WAS,53176.0,2021-22
Jarrett Allen,allenja01,CLE,20000000.0,2021-22
Kevin Love,loveke01,CLE,31258256.0,2021-22
Wesley Matthews,matthwe02,MIL,1958501.0,2021-22
Evan Fournier,fournev01,NYK,17142857.0,2021-22
Blake Griffin,griffbl01,BRK,2641691.0,2021-22
Killian Tillie,tilliki02,MEM,1901625.0,2021-22
Justin James,jamesju01,NOP,95930.0,2021-22
Shai Gilgeous-Alexander,gilgesh01,OKC,5495532.0,2021-22
Santi Aldama,aldamsa01,MEM,1994520.0,2021-22
Patty Mills,millspa02,BRK,5890000.0,2021-22
Rajon Rondo,rondora01,CLE,2641691.0,2021-22
Wayne Selden,seldewa01,NYK,785102.0,2021-22
Tyler Bey,beyty01,HOU,0.0,2021-22
Shaq Buchanan,buchash01,MEM,53176.0,2021-22
John Collins,collijo01,ATL,23000000.0,2021-22
Mac McClung,mccluma01,CHI,106352.0,2021-22
Herbert Jones,joneshe01,NOP,1700000.0,2021-22
Davion Mitchell,mitchda01,SAC,4603200.0,2021-22
Karl-Anthony Towns,townska01,MIN,31650600.0,2021-22
Charlie Brown,brownch02,DAL,95930.0,2021-22
Tyrese Maxey,maxeyty01,PHI,2602920.0,2021-22
DeJon Jarreau,jarrede01,HOU,53176.0,2021-22
Marko Simonovic,simonma01,CHI,925258.0,2021-22
Matt Ryan,ryanma01,BOS,0.0,2021-22
Talen Horton-Tucker,hortota01,LAL,9500000.0,2021-22
Larry Sanders,sandela01,MIL,1865547.0,2021-22
Matisse Thybulle,thybuma01,PHI,2840160.0,2021-22
E'Twaun Moore,mooreet01,ORL,2641691.0,2021-22
Josh Christopher,chrisjo01,HOU,2259240.0,2021-22
Marquese Chriss,chrisma01,DAL,1292900.0,2021-22
Larry Nance,nancela02,NOP,10690909.0,2021-22
Russell Westbrook,westbru01,LAL,44211146.0,2021-22
Jusuf NurkiÄ,nurkiju01,POR,12000000.0,2021-22
Aaron Wiggins,wiggiaa01,OKC,1000000.0,2021-22
Jamorko Pickett,pickeja01,DET,0.0,2021-22
Cam Thomas,thomaca02,BRK,2036280.0,2021-22
Maxi Kleber,klebima01,DAL,8750000.0,2021-22
Jeremy Lamb,lambje01,SAC,10500000.0,2021-22
